epoch,dataset,model,method,policy,attn_only,lora_r,lora_alpha,lora_dropout,lr,lr_lora,lr_norm,weight_decay,clip_grad,trainable_params,avg_step_time_s,peak_mem_bytes,acc1,ece,grad_norm_lora_mean,grad_norm_norm_mean,update_norm_lora_mean,update_norm_norm_mean,cosine_ln_mean,cosine_ln_p90,freeze_lora_steps,freeze_norm_steps,alt_freeze_every,alt_freeze_order
1,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.000905463412215599,0.05,0.0,19200,0.22213634932437515,3236708864,0.0384,0.017263447570800783,0.0,2827.960457938058,0.0,0.011074962260733758,nan,nan,0,0,0,lora-first
2,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.000657963412215599,0.05,0.0,19200,0.22309401456047506,3231160832,0.0553,0.02711830291748047,0.0,2905.6641758510045,0.0,0.009686741711837905,nan,nan,0,0,0,lora-first
3,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.0003520365877844011,0.05,0.0,19200,0.22260236313275975,3231160832,0.0598,0.03064148615002632,0.0,3366.7365199497767,0.0,0.006998059805482626,nan,nan,0,0,0,lora-first
4,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.00010453658778440106,0.05,0.0,19200,0.22297913765968264,3231160832,0.0625,0.030794896066188814,0.0,3662.9024483816966,0.0,0.00368693596517135,nan,nan,0,0,0,lora-first
5,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,1e-05,0.05,0.0,19200,0.2240318087360743,3231160832,0.0637,0.0318021137535572,0.0,3775.8651820591517,0.0,0.00101248653663788,nan,nan,0,0,0,lora-first
