epoch,dataset,model,method,policy,attn_only,lora_r,lora_alpha,lora_dropout,lr,lr_lora,lr_norm,weight_decay,clip_grad,trainable_params,avg_step_time_s,peak_mem_bytes,acc1,ece,grad_norm_lora_mean,grad_norm_norm_mean,update_norm_lora_mean,update_norm_norm_mean,cosine_ln_mean,cosine_ln_p90,freeze_lora_steps,freeze_norm_steps,alt_freeze_every,alt_freeze_order
1,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,6,24.0,0.0,0.001,5.748669610234237e-05,0.000905463412215599,0.05,0.0,159744,0.3032138268356128,4172047872,0.1219,0.06518537667393684,83215.35026041667,4216.904622395833,0.0012176370558639367,0.00743497737372915,nan,nan,0,0,0,lora-first
2,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,6,24.0,0.0,0.001,4.436169610234237e-05,0.000657963412215599,0.05,0.0,159744,0.30412956332916496,4171916800,0.1476,0.07760732605457306,89307.20182291667,3167.142333984375,0.0010269134460637968,0.005415634678987165,nan,nan,0,0,0,lora-first
3,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,6,24.0,0.0,0.001,2.813830389765763e-05,0.0003520365877844011,0.05,0.0,159744,0.3040106009949199,4171916800,0.1615,0.08445457928180694,105800.2109375,3515.3637898763022,0.0007536395181280872,0.003538089105859399,nan,nan,0,0,0,lora-first
4,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,6,24.0,0.0,0.001,1.5013303897657632e-05,0.00010453658778440106,0.05,0.0,159744,0.306742594979913,4171916800,0.1709,0.09031290328502654,113832.90104166667,3596.268798828125,0.00046904404492427904,0.001749710781344523,nan,nan,0,0,0,lora-first
5,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,6,24.0,0.0,0.001,1e-05,1e-05,0.05,0.0,159744,0.3069689090904372,4171916800,0.1756,0.09056128273010254,142526.26822916666,5791.0988362630205,0.00023519414147206893,0.0005413102286790187,nan,nan,0,0,0,lora-first
