epoch,dataset,model,method,policy,attn_only,lora_r,lora_alpha,lora_dropout,lr,lr_lora,lr_norm,weight_decay,clip_grad,trainable_params,avg_step_time_s,peak_mem_bytes,acc1,ece,grad_norm_lora_mean,grad_norm_norm_mean,update_norm_lora_mean,update_norm_norm_mean,cosine_ln_mean,cosine_ln_p90,freeze_lora_steps,freeze_norm_steps,alt_freeze_every,alt_freeze_order
1,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,3,24.0,0.0,0.001,5.748669610234237e-05,0.000905463412215599,0.05,0.0,86016,0.30368340228829543,4169039360,0.0944,0.04419421256780624,87430.08203125,2268.7671101888022,0.0007983339213145276,0.006739215459674597,nan,nan,0,0,0,lora-first
2,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,3,24.0,0.0,0.001,4.436169610234237e-05,0.000657963412215599,0.05,0.0,86016,0.3038391810853768,4168318464,0.1069,0.0495340914607048,77090.015625,1958.745096842448,0.0007539986399933696,0.005943031671146552,nan,nan,0,0,0,lora-first
3,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,3,24.0,0.0,0.001,2.813830389765763e-05,0.0003520365877844011,0.05,0.0,86016,0.3036835291196623,4168318464,0.1237,0.06109712555408478,100896.20833333333,2578.152791341146,0.0006458570326988896,0.004346931935288012,nan,nan,0,0,0,lora-first
4,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,3,24.0,0.0,0.001,1.5013303897657632e-05,0.00010453658778440106,0.05,0.0,86016,0.3068324226857451,4168318464,0.1332,0.06876093990802765,44810.563802083336,789.7808837890625,0.00042410688668799895,0.0032051006176819405,nan,nan,0,0,0,lora-first
5,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,3,24.0,0.0,0.001,1e-05,1e-05,0.05,0.0,86016,0.3079553845593387,4168318464,0.1399,0.07033001141548156,61305.604166666664,1490.7455037434895,0.00017990089933543155,0.0005901122009769703,nan,nan,0,0,0,lora-first
