epoch,dataset,model,method,policy,attn_only,lora_r,lora_alpha,lora_dropout,lr,lr_lora,lr_norm,weight_decay,clip_grad,trainable_params,avg_step_time_s,peak_mem_bytes,acc1,ece,grad_norm_lora_mean,grad_norm_norm_mean,update_norm_lora_mean,update_norm_norm_mean,cosine_ln_mean,cosine_ln_p90,freeze_lora_steps,freeze_norm_steps,alt_freeze_every,alt_freeze_order
1,cifar100,vit_small_patch16_224,lora,n.a.,0,8,32.0,0.0,0.001,0.00045320916362186214,nan,0.05,0.0,589824,0.4539467648167135,5703692800,0.1292,0.06230384588241577,105898.69694010417,0.0,0.028111735824495554,0.0,nan,nan,0,0,0,lora-first
2,cifar100,vit_small_patch16_224,lora,n.a.,0,8,32.0,0.0,0.001,0.00033070916362186215,nan,0.05,0.0,589824,0.45202052013953326,5703692800,0.1712,0.08420160222053528,98452.51627604167,0.0,0.024864078499376774,0.0,nan,nan,0,0,0,lora-first
3,cifar100,vit_small_patch16_224,lora,n.a.,0,8,32.0,0.0,0.001,0.0001792908363781379,nan,0.05,0.0,589824,0.4532671864990078,5703692800,0.1971,0.09001699705123901,126976.73665364583,0.0,0.01888206989193956,0.0,nan,nan,0,0,0,lora-first
4,cifar100,vit_small_patch16_224,lora,n.a.,0,8,32.0,0.0,0.001,5.67908363781379e-05,nan,0.05,0.0,589824,0.45414604006520926,5703692800,0.2314,0.10215714740753173,143915.51204427084,0.0,0.011350654220829407,0.0,nan,nan,0,0,0,lora-first
5,cifar100,vit_small_patch16_224,lora,n.a.,0,8,32.0,0.0,0.001,1e-05,nan,0.05,0.0,589824,0.45433533161192596,5703692800,0.2647,0.11625959858894348,154536.20768229166,0.0,0.0036296181109113,0.0,nan,nan,0,0,0,lora-first
