epoch,dataset,model,method,policy,attn_only,lora_r,lora_alpha,lora_dropout,lr,lr_lora,lr_norm,weight_decay,clip_grad,trainable_params,avg_step_time_s,peak_mem_bytes,acc1,ece,grad_norm_lora_mean,grad_norm_norm_mean,update_norm_lora_mean,update_norm_norm_mean,cosine_ln_mean,cosine_ln_p90,freeze_lora_steps,freeze_norm_steps,alt_freeze_every,alt_freeze_order
1,cifar100,vit_small_patch16_224,lora,n.a.,0,8,32.0,0.0,0.001,0.00045320916362186214,nan,0.05,0.0,589824,0.45053870537701773,5703692800,0.1348,0.06841324644088745,103166.27897135417,0.0,0.028860483629008133,0.0,nan,nan,0,0,0,lora-first
2,cifar100,vit_small_patch16_224,lora,n.a.,0,8,32.0,0.0,0.001,0.00033070916362186215,nan,0.05,0.0,589824,0.4525582534272957,5703692800,0.1592,0.07567247343063355,120183.61490885417,0.0,0.027765364851802588,0.0,nan,nan,0,0,0,lora-first
3,cifar100,vit_small_patch16_224,lora,n.a.,0,8,32.0,0.0,0.001,0.0001792908363781379,nan,0.05,0.0,589824,0.45325509239645567,5703692800,0.1911,0.07868793377876282,118564.09212239583,0.0,0.018932918086647987,0.0,nan,nan,0,0,0,lora-first
4,cifar100,vit_small_patch16_224,lora,n.a.,0,8,32.0,0.0,0.001,5.67908363781379e-05,nan,0.05,0.0,589824,0.4550304327474531,5703692800,0.227,0.10321087350845337,123034.55729166667,0.0,0.010663923108950257,0.0,nan,nan,0,0,0,lora-first
5,cifar100,vit_small_patch16_224,lora,n.a.,0,8,32.0,0.0,0.001,1e-05,nan,0.05,0.0,589824,0.45484667360935066,5703692800,0.2504,0.1093796178817749,141520.93359375,0.0,0.003623645034773896,0.0,nan,nan,0,0,0,lora-first
