epoch,dataset,model,method,policy,attn_only,lora_r,lora_alpha,lora_dropout,lr,lr_lora,lr_norm,weight_decay,clip_grad,trainable_params,avg_step_time_s,peak_mem_bytes,acc1,ece,grad_norm_lora_mean,grad_norm_norm_mean,update_norm_lora_mean,update_norm_norm_mean,cosine_ln_mean,cosine_ln_p90,freeze_lora_steps,freeze_norm_steps,alt_freeze_every,alt_freeze_order
1,cifar100,vit_small_patch16_224,hybrid_layers,odd_lora,0,3,24.0,0.0,0.001,5.748669610234237e-05,0.000905463412215599,0.05,0.0,119808,0.3462080601840983,4555774464,0.0972,0.04868838114738464,48402.566080729164,348.6505247751872,0.0011781768989749253,0.004944041992227237,nan,nan,0,0,0,lora-first
2,cifar100,vit_small_patch16_224,hybrid_layers,odd_lora,0,3,24.0,0.0,0.001,4.436169610234237e-05,0.000657963412215599,0.05,0.0,119808,0.34692088966174506,4555774464,0.1243,0.06542910504341125,72251.40299479167,514.034543355306,0.0011433323379606009,0.004180057905614376,nan,nan,0,0,0,lora-first
3,cifar100,vit_small_patch16_224,hybrid_layers,odd_lora,0,3,24.0,0.0,0.001,2.813830389765763e-05,0.0003520365877844011,0.05,0.0,119808,0.34682233132364804,4555774464,0.1338,0.06599986927509308,63375.551432291664,337.99779955546063,0.0007355021662078798,0.0033179587917402387,nan,nan,0,0,0,lora-first
4,cifar100,vit_small_patch16_224,hybrid_layers,odd_lora,0,3,24.0,0.0,0.001,1.5013303897657632e-05,0.00010453658778440106,0.05,0.0,119808,0.349225225960812,4555774464,0.1456,0.07896477253437043,76748.96549479167,465.07252502441406,0.0004922195366816595,0.001707054868650933,nan,nan,0,0,0,lora-first
5,cifar100,vit_small_patch16_224,hybrid_layers,odd_lora,0,3,24.0,0.0,0.001,1e-05,1e-05,0.05,0.0,119808,0.3497791564677987,4555774464,0.1547,0.0816186625957489,75286.08138020833,397.0861288706462,0.0002654062724711063,0.0005075544419620807,nan,nan,0,0,0,lora-first
