epoch,dataset,model,method,policy,attn_only,lora_r,lora_alpha,lora_dropout,lr,lr_lora,lr_norm,weight_decay,clip_grad,trainable_params,avg_step_time_s,peak_mem_bytes,acc1,ece,grad_norm_lora_mean,grad_norm_norm_mean,update_norm_lora_mean,update_norm_norm_mean,cosine_ln_mean,cosine_ln_p90,freeze_lora_steps,freeze_norm_steps,alt_freeze_every,alt_freeze_order
1,cifar100,vit_small_patch16_224,lora,n.a.,0,8,32.0,0.0,0.001,0.00045320916362186214,nan,0.05,0.0,589824,0.4517091540119532,5703692800,0.1201,0.05334899814128876,102766.48958333333,0.0,0.0271234642714262,0.0,nan,nan,0,0,0,lora-first
2,cifar100,vit_small_patch16_224,lora,n.a.,0,8,32.0,0.0,0.001,0.00033070916362186215,nan,0.05,0.0,589824,0.45223707738129987,5703692800,0.1575,0.0740681691646576,113315.140625,0.0,0.028154528699815273,0.0,nan,nan,0,0,0,lora-first
3,cifar100,vit_small_patch16_224,lora,n.a.,0,8,32.0,0.0,0.001,0.0001792908363781379,nan,0.05,0.0,589824,0.4532601071135772,5703692800,0.1951,0.08177537434101105,110069.41243489583,0.0,0.019121375245352585,0.0,nan,nan,0,0,0,lora-first
4,cifar100,vit_small_patch16_224,lora,n.a.,0,8,32.0,0.0,0.001,5.67908363781379e-05,nan,0.05,0.0,589824,0.454850249278271,5703692800,0.2263,0.09929417452812195,119807.3310546875,0.0,0.010946190993612012,0.0,nan,nan,0,0,0,lora-first
5,cifar100,vit_small_patch16_224,lora,n.a.,0,8,32.0,0.0,0.001,1e-05,nan,0.05,0.0,589824,0.45473801571389905,5703692800,0.2502,0.10861210060119629,159560.46516927084,0.0,0.0036275211217192314,0.0,nan,nan,0,0,0,lora-first
