epoch,dataset,model,method,policy,attn_only,lora_r,lora_alpha,lora_dropout,lr,lr_lora,lr_norm,weight_decay,clip_grad,trainable_params,avg_step_time_s,peak_mem_bytes,acc1,ece,grad_norm_lora_mean,grad_norm_norm_mean,update_norm_lora_mean,update_norm_norm_mean,cosine_ln_mean,cosine_ln_p90,freeze_lora_steps,freeze_norm_steps,alt_freeze_every,alt_freeze_order
1,cifar100,vit_small_patch16_224,lora,n.a.,0,4,32.0,0.0,0.001,0.00045320916362186214,nan,0.05,0.0,294912,0.4665317413447153,5688701440,0.0794,0.03592593252062798,25353.647135416668,0.0,0.014769033451254169,0.0,nan,nan,0,0,0,lora-first
2,cifar100,vit_small_patch16_224,lora,n.a.,0,4,32.0,0.0,0.001,0.00033070916362186215,nan,0.05,0.0,294912,0.45018758432334643,5688701440,0.1065,0.050450497698783875,20055.672607421875,0.0,0.013462944344306985,0.0,nan,nan,0,0,0,lora-first
3,cifar100,vit_small_patch16_224,lora,n.a.,0,4,32.0,0.0,0.001,0.0001792908363781379,nan,0.05,0.0,294912,0.451334106952638,5688701440,0.121,0.061313852596282956,23877.894612630207,0.0,0.013229727667445937,0.0,nan,nan,0,0,0,lora-first
4,cifar100,vit_small_patch16_224,lora,n.a.,0,4,32.0,0.0,0.001,5.67908363781379e-05,nan,0.05,0.0,294912,0.45370665474620925,5688701440,0.146,0.07457827928066253,35205.96394856771,0.0,0.007318994534822802,0.0,nan,nan,0,0,0,lora-first
5,cifar100,vit_small_patch16_224,lora,n.a.,0,4,32.0,0.0,0.001,1e-05,nan,0.05,0.0,294912,0.45279916838916673,5688701440,0.155,0.07906862540245056,30654.747884114582,0.0,0.002397909644059837,0.0,nan,nan,0,0,0,lora-first
