epoch,dataset,model,method,policy,attn_only,lora_r,lora_alpha,lora_dropout,lr,lr_lora,lr_norm,weight_decay,clip_grad,trainable_params,avg_step_time_s,peak_mem_bytes,acc1,ece,grad_norm_lora_mean,grad_norm_norm_mean,update_norm_lora_mean,update_norm_norm_mean,cosine_ln_mean,cosine_ln_p90,freeze_lora_steps,freeze_norm_steps,alt_freeze_every,alt_freeze_order
1,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.000905463412215599,0.05,0.0,19200,0.22253363394676268,3236708864,0.0439,0.021085293579101563,0.0,2428.3485194614955,0.0,0.011159568991778153,nan,nan,0,0,0,lora-first
2,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.000657963412215599,0.05,0.0,19200,0.22261863169462784,3231160832,0.0532,0.025431156700849535,0.0,2976.74813406808,0.0,0.009855414807264293,nan,nan,0,0,0,lora-first
3,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.0003520365877844011,0.05,0.0,19200,0.22275349246266554,3231160832,0.0587,0.027955465710163118,0.0,3478.710196358817,0.0,0.007426082006921726,nan,nan,0,0,0,lora-first
4,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,0.00010453658778440106,0.05,0.0,19200,0.22208928147240367,3231160832,0.0628,0.029469662863016128,0.0,3969.254647391183,0.0,0.003814108686388603,nan,nan,0,0,0,lora-first
5,cifar100,vit_small_patch16_224,norm,n.a.,0,8,16.0,0.0,0.001,nan,1e-05,0.05,0.0,19200,0.22325000311712476,3231160832,0.0642,0.028176032799482345,0.0,3851.400626046317,0.0,0.001113392163201102,nan,nan,0,0,0,lora-first
