epoch,dataset,model,method,policy,attn_only,lora_r,lora_alpha,lora_dropout,lr,lr_lora,lr_norm,weight_decay,clip_grad,trainable_params,avg_step_time_s,peak_mem_bytes,acc1,ece,grad_norm_lora_mean,grad_norm_norm_mean,update_norm_lora_mean,update_norm_norm_mean,cosine_ln_mean,cosine_ln_p90,freeze_lora_steps,freeze_norm_steps,alt_freeze_every,alt_freeze_order
1,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,2,16.0,0.0,0.001,5.748669610234237e-05,0.000905463412215599,0.05,0.0,61440,0.3040579158021971,4168023552,0.086,0.04092147713303566,72659.52473958333,1851.5245666503906,0.0006249514020358523,0.005608676699921489,nan,nan,0,0,0,lora-first
2,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,2,16.0,0.0,0.001,4.436169610234237e-05,0.000657963412215599,0.05,0.0,61440,0.3033896096222236,4167106048,0.1074,0.055675474870204925,82372.77864583333,1268.1359252929688,0.00046449535875581205,0.0036585754714906216,nan,nan,0,0,0,lora-first
3,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,2,16.0,0.0,0.001,2.813830389765763e-05,0.0003520365877844011,0.05,0.0,61440,0.3030456728337671,4167106048,0.1126,0.057150064384937284,88785.41145833333,1731.9263203938801,0.00043493933238399524,0.003655625352015098,nan,nan,0,0,0,lora-first
4,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,2,16.0,0.0,0.001,1.5013303897657632e-05,0.00010453658778440106,0.05,0.0,61440,0.3039559952133452,4167106048,0.125,0.06720937695503235,97692.95703125,2346.385782877604,0.0003023536167650794,0.0026742202268602946,nan,nan,0,0,0,lora-first
5,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,2,16.0,0.0,0.001,1e-05,1e-05,0.05,0.0,61440,0.30485872051599994,4167106048,0.1249,0.06571826057434083,50610.377604166664,857.8009338378906,0.0001425470327376388,0.0008038018131628633,nan,nan,0,0,0,lora-first
