epoch,dataset,model,method,policy,attn_only,lora_r,lora_alpha,lora_dropout,lr,lr_lora,lr_norm,weight_decay,clip_grad,trainable_params,avg_step_time_s,peak_mem_bytes,acc1,ece,grad_norm_lora_mean,grad_norm_norm_mean,update_norm_lora_mean,update_norm_norm_mean,cosine_ln_mean,cosine_ln_p90,freeze_lora_steps,freeze_norm_steps,alt_freeze_every,alt_freeze_order
1,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,3,24.0,0.0,0.001,5.748669610234237e-05,0.000905463412215599,0.05,0.0,86016,0.30686339332014706,4169039360,0.0985,0.04763107043504715,84842.98958333333,1567.2539164225261,0.000724608195014298,0.005877883095915119,nan,nan,0,0,0,lora-first
2,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,3,24.0,0.0,0.001,4.436169610234237e-05,0.000657963412215599,0.05,0.0,86016,0.30794097578434076,4168318464,0.1133,0.057709636652469636,85098.04557291667,2217.6822102864585,0.0006933248466035972,0.006151129569237431,nan,nan,0,0,0,lora-first
3,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,3,24.0,0.0,0.001,2.813830389765763e-05,0.0003520365877844011,0.05,0.0,86016,0.30830269457434145,4168318464,0.1307,0.07073215961456299,86781.01171875,1527.6023050944011,0.00046494160778820515,0.0033483171525100866,nan,nan,0,0,0,lora-first
4,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,3,24.0,0.0,0.001,1.5013303897657632e-05,0.00010453658778440106,0.05,0.0,86016,0.308749087326362,4168318464,0.1438,0.07827158381938934,87166.625,1722.8072001139324,0.00037343129709673423,0.0023313211277127266,nan,nan,0,0,0,lora-first
5,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,3,24.0,0.0,0.001,1e-05,1e-05,0.05,0.0,86016,0.3089224938541422,4168318464,0.1445,0.07765093603134156,91989.25130208333,1660.616455078125,0.00016700540678963685,0.0005946556921117008,nan,nan,0,0,0,lora-first
