epoch,dataset,model,method,policy,attn_only,lora_r,lora_alpha,lora_dropout,lr,lr_lora,lr_norm,weight_decay,clip_grad,trainable_params,avg_step_time_s,peak_mem_bytes,acc1,ece,grad_norm_lora_mean,grad_norm_norm_mean,update_norm_lora_mean,update_norm_norm_mean,cosine_ln_mean,cosine_ln_p90
2,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.0005,0.001,0.0,0.0,208896,0.5575729239627224,6143690752,0.8687,0.018243128433823586,0.8442040681838989,0.3106869434316953,0.009179306061317524,0.0067952778190374374,0.0,nan
3,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.0005,0.001,0.0,0.0,208896,0.559567188058058,6143690752,0.8722,0.012720528058707714,0.7703248659769694,0.2272489791115125,0.009683387198795875,0.007044916584466894,0.0,nan
4,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.0005,0.001,0.0,0.0,208896,0.5595645947224649,6143690752,0.8773,0.017594845965504646,0.7492584685484568,0.23517175515492758,0.00979482801631093,0.006686331549038489,0.0,nan
5,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.0005,0.001,0.0,0.0,208896,0.5596490747788373,6143690752,0.8767,0.01989123970270157,0.8868455290794373,0.24675201624631882,0.009943963183710972,0.006567704025655985,0.0,nan
6,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.0005,0.001,0.0,0.0,208896,0.559277986931374,6143690752,0.8747,0.026812678202986717,0.6214006642500559,0.18813778460025787,0.008679916771749655,0.006070175829033057,0.0,nan
7,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.0005,0.001,0.0,0.0,208896,0.5591438383702427,6143690752,0.875,0.026333272457122803,0.4823340177536011,0.1542712077498436,0.009510180602471033,0.00692518459012111,0.0,nan
8,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.0005,0.001,0.0,0.0,208896,0.5599128498750574,6143690752,0.8745,0.03298134729266167,0.6293434997399648,0.18042095253864923,0.010436962203433117,0.007601722842082381,0.0,nan
9,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.0005,0.001,0.0,0.0,208896,0.5597897880827375,6143690752,0.8742,0.03821936994791031,0.7766241828600565,0.29424717277288437,0.009355787032594284,0.007050502734879653,0.0,nan
10,cifar100,vit_small_patch16_224,hybrid_layerwise,deep_lora,0,8,16.0,0.0,0.001,0.0005,0.001,0.0,0.0,208896,0.55943642918716,6143690752,0.8748,0.03906191140413284,0.3975871056318283,0.10440883475045364,0.008569805261989435,0.005814760845775406,0.0,nan

1,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,0.0005,0.001,0.0,0.0,609024,0.8164652308539662,8036849664,0.8357,0.025366835296154022,1.6325779046331133,0.20026217021846346,0.02261195863996233,0.008134103479928203,0.009621714552243551,0.02398836798965931
2,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,0.0005,0.001,0.0,0.0,609024,0.8206563550797875,8036849664,0.855,0.010383608750998974,1.7780053871018546,0.2825709268716829,0.022351314978940145,0.008141894458926149,0.0015574675635434687,0.01651131547987461
3,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,0.0005,0.001,0.0,0.0,609024,0.8211996146785024,8036849664,0.8653,0.01526562124490738,1.6050771985735213,0.23593471751415304,0.023608480181012834,0.008212929242290556,-0.006942147335697276,0.01261900458484888
4,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,0.0005,0.001,0.0,0.0,609024,0.8227517001159356,8036849664,0.8538,0.029681872576475143,1.4293524878365653,0.21599014808556863,0.025096801109611988,0.009059185361755746,-0.0030337173181275525,0.018443638458848
5,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,0.0005,0.001,0.0,0.0,609024,0.822817371324505,8036849664,0.8573,0.038235217332839966,1.7528758900506156,0.28111285829384414,0.02407825299139534,0.008803744201681443,-0.006809114614346375,0.006412892136722803
6,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,0.0005,0.001,0.0,0.0,609024,0.8235350953953345,8036849664,0.8578,0.04082118347287178,1.7059944357190813,0.28006200272856013,0.025524159760347435,0.009656285534479789,-0.007251409871969372,0.013595727272331715
7,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,0.0005,0.001,0.0,0.0,609024,0.8233484801124124,8036849664,0.8547,0.047450512647628784,0.9440346785954067,0.15138542452561005,0.02477896333272968,0.009377638842644436,-0.005959969207954903,0.0007540379301644862
