ts,method,dataset,backbone,tuned_params_%,acc@1,ece,train_time_s,epochs,left_lr,right_lr
1757412870,norm,cifar100,vit_small_patch16_224,0.2660,0.8933,0.0479,15239.6,10,0.001,0
1757398335,lora,cifar100,vit_small_patch16_224,2.8184,0.9079,0.0603,20114.5,10,0,0.001
1757377300,hybrid,cifar100,vit_small_patch16_224,0.2588,0.8941,0.0489,18483.1,10,0.001,0.0005
