method,trainable_params_pct,acc_id,acc_c_mean,ece_id,latency_ms_cpu,pesi
norm,0.08727272727272728,0.1127,0.1127,0.051841400694847106,1.782878390167985,0.3142082116695818
norm,0.08727272727272728,0.1119,0.1119,0.04964428291320801,1.7860050520399953,0.31307732369860775
norm,0.08727272727272728,0.1112,0.1112,0.047903542244434355,1.778121232567236,0.31289524193830176
hybrid_layers,0.5445818181818182,0.2154,0.2154,0.1093708164215088,2.7367929211053093,0.17294877688910124
hybrid_layers,0.5445818181818182,0.2032,0.2032,0.10180710368156433,2.7316787454020948,0.1657949943244331
