acc1,attn_only,clip_grad,grad_norm_norm_mean,update_norm_norm_mean,alt_freeze_order,dataset,freeze_lora_steps,lora_alpha,peak_mem_bytes,pesi,alt_freeze_every,ece,epoch,latency_ms_cpu_norm,weight_decay,lora_r,latency_ms_cpu,trainable_params_pct,cosine_ln_mean,model,ece_id,lr_lora,freeze_norm_steps,avg_step_time_s,lora_dropout,policy,acc_id,update_norm_lora_mean,method,lr,pesi_lite,trainable_params,lr_norm,grad_norm_lora_mean,cosine_ln_p90,trainable_params_pct_norm,acc_c_mean
0.2154,0,0.0,220.54333368937174,7.824714824285668e-05,lora-first,cifar100,0,24.0,4359430144,0.17294877688910124,0,0.1093708164215088,20,1.001520491917911,0.05,3,2.7367929211053093,0.5445818181818182,nan,vit_small_patch16_224,0.1093708164215088,1e-05,0,0.3503094939014796,0.0,even_lora,0.2154,0.00017476518163069463,hybrid_layers,0.001,0.17308021055585737,119808,1e-05,78822.95247395833,nan,1.0,0.2154
0.2014,0,0.0,122.84462292989095,7.13465136262433e-05,lora-first,cifar100,0,24.0,4359430144,0.16526240705947626,0,0.09879147129058838,20,1.0003510240914073,0.05,3,2.733597188921231,0.5445818181818182,nan,vit_small_patch16_224,0.09879147129058838,1e-05,0,0.34990044018191757,0.0,even_lora,0.2014,0.00016061414256303883,hybrid_layers,0.001,0.16529141005765272,119808,1e-05,70086.8515625,nan,1.0,0.2014
0.2032,0,0.0,134.1732037862142,6.923399147732805e-05,lora-first,cifar100,0,24.0,4359430144,0.1657949943244331,0,0.10180710368156433,20,0.9996489759085926,0.05,3,2.7316787454020948,0.5445818181818182,nan,vit_small_patch16_224,0.10180710368156433,1e-05,0,0.3496548794114681,0.0,even_lora,0.2032,0.00015012139435081431,hybrid_layers,0.001,0.16576589275174936,119808,1e-05,51558.0732421875,nan,1.0,0.2032
0.1773,0,0.0,0.0,0.0,lora-first,cifar100,0,32.0,5688701440,0.08209091068514536,0,0.08556605882644654,20,1.3457897903508171,0.05,4,3.6775562769311776,1.3405090909090909,nan,vit_small_patch16_224,0.08556605882644654,1e-05,0,0.4707272034471907,0.0,n.a.,0.1773,0.0004907392358290963,lora,0.001,0.14941252364052124,294912,nan,14336.836669921875,nan,2.4615384615384617,0.1773
0.049,0,0.0,0.0,0.0,lora-first,cifar100,0,32.0,5688701440,0.025701244631181334,0,0.02274502112567425,20,1.3482333778389095,0.05,4,3.68423371687722,1.3405090909090909,nan,vit_small_patch16_224,0.02274502112567425,1e-05,0,0.4715819157602842,0.0,n.a.,0.049,0.0004927034606225789,lora,0.001,0.046820926754724726,294912,nan,201.92632071177164,nan,2.4615384615384617,0.049
0.1127,0,0.0,6868.017229352678,0.00014254917290859988,lora-first,cifar100,0,16.0,3231160832,0.3142082116695818,0,0.051841400694847106,20,0.6524385636125174,0.05,8,1.782878390167985,0.08727272727272728,nan,vit_small_patch16_224,0.051841400694847106,nan,0,0.2282084339415021,0.0,n.a.,0.1127,0.0,norm,0.001,0.10160031338686745,19200,1e-05,0.0,nan,0.16025641025641027,0.1127
0.1112,0,0.0,8691.426914760044,0.00015305906500933425,lora-first,cifar100,0,16.0,3231160832,0.31289524193830176,0,0.047903542244434355,20,0.6506976972197072,0.05,8,1.778121232567236,0.08727272727272728,nan,vit_small_patch16_224,0.047903542244434355,nan,0,0.2275995177686062,0.0,n.a.,0.1112,0.0,norm,0.001,0.10104068902294387,19200,1e-05,0.0,nan,0.16025641025641027,0.1112
0.1119,0,0.0,7873.7728271484375,0.0001358309512267754,lora-first,cifar100,0,16.0,3231160832,0.31307732369860775,0,0.04964428291320801,20,0.653582755382369,0.05,8,1.7860050520399953,0.08727272727272728,nan,vit_small_patch16_224,0.04964428291320801,nan,0,0.22860864666111938,0.0,n.a.,0.1119,0.0,norm,0.001,0.1013233663478735,19200,1e-05,0.0,nan,0.16025641025641027,0.1119
