method,budget_pct,n,acc_id_mean,acc_id_std,acc_c_mean_mean,acc_c_mean_std,ece_id_mean,ece_id_std,latency_ms_cpu_mean,latency_ms_cpu_std,pesi_mean,pesi_std
hybrid_layers,0.545,3,0.20666666666666667,0.007616648431779785,0.20666666666666667,0.007616648431779785,0.10332313046455383,0.005450173277505819,2.734022951809545,0.0025835351378753085,0.16800205942433688,0.004292251455338119
lora,1.341,2,0.11315,0.09072180002623406,0.11315,0.09072180002623406,0.054155539976060395,0.044421181759391845,3.6808949969041986,0.004721663066812607,0.053896077658163344,0.03987351525560283
norm,0.087,3,0.11193333333333333,0.000750555349946514,0.11193333333333333,0.000750555349946514,0.04979640861749649,0.001973331945289674,1.7823348915917387,0.003969911258019619,0.3133935924354971,0.000711331015958521
