method,trainable_params_pct,acc_id,pesi
hybrid_layers,0.5445818181818182,0.2154,0.17294877688910124
hybrid_layers,0.5445818181818182,0.2014,0.16526240705947626
hybrid_layers,0.5445818181818182,0.2032,0.1657949943244331
lora,1.3405090909090909,0.1773,0.08209091068514536
lora,1.3405090909090909,0.049,0.025701244631181334
norm,0.08727272727272728,0.1127,0.3142082116695818
norm,0.08727272727272728,0.1112,0.31289524193830176
norm,0.08727272727272728,0.1119,0.31307732369860775
